+-------+------------------------------------------------+---------------+-----------------------------------------------------------------------------------+-----------------+------------------------------------------------------------------------------------------------------------------------------+------------------+
| id    | name                                           | question_type | question_text                                                                     | correct_answer  | explanation                                                                                                                  | difficulty_level |
+-------+------------------------------------------------+---------------+-----------------------------------------------------------------------------------+-----------------+------------------------------------------------------------------------------------------------------------------------------+------------------+
| 13434 | 一般现在时 [基础]                              | SINGLE_CHOICE | She ___ to school by bus every day.                                               | B               | 一般现在时第三人称单数(She)动词加-s/es。every day表示经常性动作。                                                            |                1 |
| 13435 | 一般现在时 [基础]                              | SINGLE_CHOICE | The sun ___ in the east.                                                          | B               | 客观真理用一般现在时。太阳从东边升起是客观事实。                                                                             |                1 |
| 13436 | 一般现在时 [基础]                              | SINGLE_CHOICE | Tom ___ football every weekend.                                                   | C               | Tom是第三人称单数，一般现在时动词加s。every weekend是频率状语。                                                              |                1 |
| 13437 | 一般现在时 [基础]                              | SINGLE_CHOICE | Water ___ at 100 degrees Celsius.                                                 | B               | 科学事实用一般现在时，water是不可数名词，谓语用第三人称单数。                                                                |                1 |
| 13438 | 一般现在时 [基础]                              | TRUE_FALSE    | He don't like coffee. (判断正误)                                                  | F               | 第三人称单数否定用doesn't，正确为He doesn't like coffee。                                                                    |                1 |
| 13439 | 一般现在时 [基础]                              | FILL_IN       | She ___ (watch) TV every evening. (用所给词的正确形式填空)                        | watches         | 一般现在时，主语She是第三人称单数，动词watch加es→watches。以s/x/sh/ch/o结尾加es。                                            |                1 |
| 13440 | 一般现在时 [基础]                              | SINGLE_CHOICE | My father ___ in a hospital. He is a doctor.                                      | B               | my father是第三人称单数，表示职业用一般现在时。                                                                              |                1 |
| 13441 | 一般现在时 [基础]                              | TRUE_FALSE    | The earth moves around the sun. (判断正误)                                        | T               | 客观真理性事实用一般现在时。The earth是第三人称单数，moves正确。                                                             |                1 |
| 13442 | 一般现在时 [基础]                              | SINGLE_CHOICE | What ___ your sister do?                                                          | B               | your sister是第三人称单数，疑问句用does+动词原形。                                                                           |                1 |
| 13492 | 动词不定式 [困难]                              | SINGLE_CHOICE | She wants ___ a teacher when she grows up.                                        | B               | want后接动词不定式to do。常见接to do的动词：want/decide/hope/wish/plan。                                                     |                2 |
| 13493 | 动词不定式 [困难]                              | SINGLE_CHOICE | It is important ___ English every day.                                            | C               | It is+形容词+to do是固定句型，不定式作真正主语。                                                                             |                2 |
| 13494 | 动词不定式 [困难]                              | FILL_IN       | He decided ___ (go) abroad for further study.                                     | to go           | decide后接to do，decide to do sth是固定搭配。                                                                                |                2 |
| 13495 | 动词不定式 [困难]                              | SINGLE_CHOICE | The teacher told us ___ in class.                                                 | B               | tell sb not to do sth是固定句型，不定式的否定在to前加not。                                                                   |                3 |
| 13496 | 动词不定式 [困难]                              | SINGLE_CHOICE | I have a lot of homework ___.                                                     | C               | have sth to do是固定搭配，不定式作后置定语修饰homework。                                                                     |                2 |
| 13497 | 动词不定式 [困难]                              | FILL_IN       | He got up early ___ (catch) the first bus.                                        | to catch        | 不定式表示目的，"为了赶上"，to do作目的状语。                                                                                |                2 |
| 13507 | 不定式                                         | SINGLE_CHOICE | I went to the library ___ some books.                                             | C               | 不定式to borrow表示目的。去图书馆的目的是借书。                                                                              |                2 |
| 13508 | 不定式                                         | SINGLE_CHOICE | The best way ___ English is to use it every day.                                  | B               | the way to do sth是固定搭配，不定式作后置定语修饰way。                                                                       |                2 |
| 13509 | 不定式                                         | FILL_IN       | He is too young ___ (go) to school.                                               | to go           | too...to...结构表示"太...而不能..."，too young to go太年轻不能上学。                                                         |                2 |
| 13564 | 虚拟语气在条件句中的用法 [困难]                | SINGLE_CHOICE | If I ___ you, I would study harder.                                               | C               | 与现在事实相反的虚拟语气：if从句用过去式(be动词一律用were)，主句用would+动词原形。                                           |                3 |
| 13565 | 虚拟语气在条件句中的用法 [困难]                | SINGLE_CHOICE | If he ___ earlier, he would have caught the train.                                | B               | 与过去事实相反的虚拟语气：从句用had done，主句用would have done。                                                            |                3 |
| 13566 | 虚拟语气在条件句中的用法 [困难]                | FILL_IN       | I wish I ___ (know) the answer.                                                   | knew            | wish后的宾语从句用虚拟语气。与现在事实相反用过去式(knew)。                                                                   |                3 |
| 13567 | 虚拟语气在条件句中的用法 [困难]                | SINGLE_CHOICE | If it ___ tomorrow, we would stay at home.                                        | B               | 与将来事实可能相反的虚拟：从句用过去式rained或were to rain或should rain。                                                    |                3 |
| 13568 | 虚拟语气在条件句中的用法 [困难]                | SINGLE_CHOICE | She wishes she ___ a bird.                                                        | C               | wish后从句中be动词用were(不管主语人称)。这是虚拟语气的固定用法。                                                             |                3 |
| 13569 | 虚拟语气在条件句中的用法 [困难]                | FILL_IN       | If I had known the truth, I ___ (tell) you.                                       | would have told | 与过去事实相反：从句had known，主句would have told。                                                                         |                3 |
| 13570 | 邀请与请求 [基础]                              | SINGLE_CHOICE | ---Would you like to come to my party? ---___.                                    | B               | 接受邀请常用I'd love to。Yes, I would是直接翻译，不地道。                                                                    |                1 |
| 13571 | 邀请与请求 [基础]                              | SINGLE_CHOICE | ---Could you please help me with this box? ---___.                                | B               | 接受请求用With pleasure(很乐意)。You're welcome是回答感谢的。                                                                |                1 |
| 13572 | 邀请与请求 [基础]                              | FILL_IN       | ---Shall we go swimming? ---___ (好主意)!                                         | Good idea       | Shall we...?提出建议，同意用Good idea!/Sounds great!                                                                         |                1 |
| 13573 | 邀请与请求 [基础]                              | SINGLE_CHOICE | ---Would you mind opening the window? ---___. I'll do it right now.               | B               | Would you mind...?表示"你介意...吗?"，不介意用Of course not/Certainly not。                                                  |                2 |
| 13583 | 就近原则与意义一致 [基础]                      | FILL_IN       | Either you or he ___ (be) wrong.                                                  | is              | either...or...就近原则，与he保持一致，用is。                                                                                 |                2 |
| 13584 | 情态动词基本用法 can/must/may [基础]           | SINGLE_CHOICE | This ___ be Tom's book because his name is on it.                                 | C               | 名字在书上提供确凿证据，must表示肯定推测(一定是)。                                                                           |                1 |
| 13586 | 关系代词 that/which/who [中等]                 | SINGLE_CHOICE | The man ___ is standing there is my uncle.                                        | B               | 先行词the man指人，从句缺主语，用who/that。                                                                                  |                2 |
| 13587 | 关系代词 that/which/who [中等]                 | SINGLE_CHOICE | This is the book ___ I bought yesterday.                                          | B               | 先行词book指物，从句缺宾语，用which/that。                                                                                   |                2 |
| 13588 | 关系代词 that/which/who [中等]                 | SINGLE_CHOICE | Everything ___ he said is true.                                                   | C               | 先行词是不定代词everything时只能用that。                                                                                     |                3 |
| 13589 | 关系代词 that/which/who [中等]                 | FILL_IN       | I like the house ___ has a big garden.                                            | which/that      | 先行词house指物，从句缺主语，用which或that。                                                                                 |                2 |
| 13590 | 关系代词 that/which/who [中等]                 | SINGLE_CHOICE | She is the kindest person ___ I know.                                             | B               | 先行词被最高级修饰时只能用that。                                                                                             |                3 |
| 13597 | 宾语从句 [中等]                                | SINGLE_CHOICE | I wonder ___ he will come tomorrow.                                               | B               | wonder表示想知道，后接whether/if。                                                                                           |                2 |
| 13598 | 宾语从句 [中等]                                | SINGLE_CHOICE | She said ___ she was very busy.                                                   | B               | 陈述句作宾语从句用that引导，that可省略。                                                                                     |                2 |
| 13599 | 宾语从句 [中等]                                | FILL_IN       | Can you tell me ___ the post office is?                                           | where           | 宾语从句用陈述语序。疑问词保留但语序正常。                                                                                   |                2 |
