+-------+--------------------------------------------------+---------------+------------------------------------------------------------------------------------------------+-------------------------+------------------------------------------------------------------------------------------------------------------------------------------+------------------+
| id    | node                                             | question_type | question_text                                                                                  | correct_answer          | explanation                                                                                                                              | difficulty_level |
+-------+--------------------------------------------------+---------------+------------------------------------------------------------------------------------------------+-------------------------+------------------------------------------------------------------------------------------------------------------------------------------+------------------+
| 13340 | 子集、真子集、相等 [理解]                        | SINGLE_CHOICE | 已知集合 $A=\{1,2\}$，则A的子集个数为                                                          | C                       | n个元素的集合有2^n个子集。A有2个元素，子集数为2²=4：∅,{1},{2},{1,2}。                                                                    |                2 |
| 13341 | 子集、真子集、相等 [理解]                        | SINGLE_CHOICE | 若集合 $A \subseteq B$ 且 $A \neq B$，则A是B的                                                 | B                       | A⊆B且A≠B说明A是B的子集但不等于B，即A是B的真子集，记作A⊂B。                                                                               |                2 |
| 13342 | 集合的定义与元素 [了解]                          | SINGLE_CHOICE | 下列对象中，能组成集合的是                                                                     | B                       | 集合的元素必须是确定的。A"高个子"、C"漂亮"、D"接近"都是模糊概念。B中方程解的集合是明确的{-2,2}。                                         |                1 |
| 13343 | 集合的定义与元素 [了解]                          | TRUE_FALSE    | 若a是集合A的元素，则记作a∈A。                                                                  | T                       | ∈表示"属于"，是集合论的基本符号。                                                                                                        |                1 |
| 13348 | 不等式的性质与传递性 [了解]                      | SINGLE_CHOICE | 若 $a > b$，$c < 0$，则下列正确的是                                                            | B                       | 不等式两边同乘负数，不等号方向要改变。a>b，c<0，所以ac<bc。                                                                              |                2 |
| 13349 | 不等式的性质与传递性 [了解]                      | TRUE_FALSE    | 若a>b且b>c，则a>c。                                                                            | T                       | 不等式的传递性：a>b, b>c ⇒ a>c。这是不等式的基本性质。                                                                                   |                1 |
| 13350 | 不等式的性质与传递性 [了解]                      | FILL_IN       | 已知 $a > b$，则 $a+3$ ___ $b+3$（填">"或"<"）。                                               | >                       | 不等式两边同加同一个数，不等号方向不变。a>b ⇒ a+3>b+3。                                                                                  |                1 |
| 13351 | 二次函数图像与性质 [掌握]                        | SINGLE_CHOICE | 二次函数 $y=x^2-4x+3$ 的对称轴是                                                               | B                       | 二次函数y=ax²+bx+c的对称轴为x=-b/(2a)。a=1,b=-4，对称轴x=-(-4)/(2×1)=2。                                                                 |                3 |
| 13352 | 二次函数图像与性质 [掌握]                        | FILL_IN       | 二次函数 $y=x^2-6x+8$ 的顶点坐标为___。                                                        | (3,-1)                  | 配方：y=(x-3)²-9+8=(x-3)²-1，顶点(3,-1)。                                                                                                |                3 |
| 13353 | 任意角的概念与表示 [了解]                        | SINGLE_CHOICE | 角 $240^\circ$ 是第几象限角                                                                    | C                       | 240°在180°和270°之间，属于第三象限。                                                                                                     |                2 |
| 13354 | 任意角的概念与表示 [了解]                        | TRUE_FALSE    | 角-30°是第四象限角。                                                                           | T                       | -30°顺时针旋转30°，落在第四象限(270°~360°等价于-90°~0°中的-30°)。                                                                        |                2 |
| 13357 | 正弦、余弦函数的图像与性质 [理解]                | SINGLE_CHOICE | 函数 $y=2\sin x$ 的最大值为                                                                    | B                       | y=2sinx中，sinx的最大值为1，所以y的最大值为2×1=2。                                                                                       |                2 |
| 13359 | 正弦定理 [掌握]                                  | FILL_IN       | 在△ABC中，a=3，A=30°，B=45°，则b=___。                                                         | 3√2                     | 正弦定理：a/sinA=b/sinB ⇒ 3/sin30°=b/sin45° ⇒ 3/0.5=b/(√2/2) ⇒ b=3√2。                                                                   |                3 |
| 13362 | 数列的定义与分类 [了解]                          | TRUE_FALSE    | 数列1,3,5,7,…是等差数列，公差为2。                                                             | T                       | 相邻两项差为3-1=2, 5-3=2, 7-5=2，公差d=2恒定，是等差数列。                                                                               |                1 |
| 13363 | 向量的坐标表示 [掌握]                            | SINGLE_CHOICE | 已知点A(1,2)，B(4,6)，则向量 $\overrightarrow{AB}$ 的坐标为                                    | A                       | AB向量=终点坐标-起点坐标=(4-1,6-2)=(3,4)。                                                                                               |                2 |
| 13364 | 向量的坐标表示 [掌握]                            | FILL_IN       | 已知向量 $\vec{a}=(3,-4)$，则 $|\vec{a}|=$___。                                                | 5                       | 向量模长=√(x²+y²)=√(9+16)=√25=5。                                                                                                        |                2 |
| 13365 | 向量的坐标表示 [掌握]                            | SINGLE_CHOICE | 已知 $\vec{a}=(2,1)$，$\vec{b}=(4,2)$，则两向量关系为                                          | B                       | b=(4,2)=2×(2,1)=2a，所以a和b共线（平行）。                                                                                               |                2 |
| 13366 | 向量的坐标表示 [掌握]                            | TRUE_FALSE    | 向量(1,2)与向量(2,4)的方向相同。                                                               | T                       | (2,4)=2(1,2)，正倍数关系，方向相同。                                                                                                     |                1 |
| 13371 | 向量的定义与表示 [了解]                          | SINGLE_CHOICE | 下列哪个是向量                                                                                 | C                       | 向量既有大小又有方向。位移有大小（距离）和方向，是向量。温度、长度、质量只有大小，是标量。                                               |                1 |
| 13372 | 向量的定义与表示 [了解]                          | TRUE_FALSE    | 零向量的长度为0，方向任意。                                                                    | T                       | 零向量0的模长为0，方向不确定（任意方向均可）。正确。                                                                                     |                1 |
| 13373 | 向量的定义与表示 [了解]                          | FILL_IN       | 向量 $\vec{a}$ 的模记作___。                                                                   | |a|                     | 向量的模（长度）用绝对值符号表示，记作|a|或|AB|。                                                                                        |                1 |
| 13377 | 线面平行与垂直的判定 [理解]                      | SINGLE_CHOICE | 直线与平面平行的判定定理是                                                                     | B                       | 线面平行判定：若平面外一直线与平面内一条直线平行，则该直线与此平面平行。                                                                 |                3 |
| 13378 | 线面平行与垂直的判定 [理解]                      | TRUE_FALSE    | 若一条直线垂直于平面内两条相交直线，则该直线垂直于该平面。                                     | T                       | 线面垂直判定定理：直线垂直于平面内两条相交直线⇒直线垂直于平面。                                                                          |                3 |
| 13379 | 线面平行与垂直的判定 [理解]                      | SINGLE_CHOICE | 正方体ABCD-A'B'C'D'中，直线A'C'与平面ABCD的关系是                                              | A                       | A'C'在上底面，ABCD是下底面，两平面平行。所以A'C'平行于平面ABCD。                                                                         |                3 |
| 13380 | 线面平行与垂直的判定 [理解]                      | FILL_IN       | 若直线l∥平面α，则l与α___公共点（填"有"或"无"）。                                               | 无                      | 线面平行⇔直线和平面无公共点。                                                                                                            |                2 |
| 13384 | 常见几何体的表面积 [理解]                        | SINGLE_CHOICE | 棱长为2的正方体表面积为                                                                        | C                       | 正方体6个面，每个面面积=2²=4，表面积=6×4=24。                                                                                            |                2 |
| 13385 | 常见几何体的表面积 [理解]                        | FILL_IN       | 底面半径为3，母线长为5的圆锥侧面积为___（用π表示）。                                           | 15π                     | 圆锥侧面积=πrl=π×3×5=15π。                                                                                                               |                3 |
| 13392 | 分类加法与分步乘法 [理解]                        | SINGLE_CHOICE | 从3件上衣和4条裤子中选一套衣服，有几种选法                                                     | B                       | 分步乘法：选上衣3种×选裤子4种=12种。                                                                                                     |                1 |
| 13393 | 分类加法与分步乘法 [理解]                        | FILL_IN       | 从北京到上海有2趟航班和3趟高铁，共___种出行方式。                                              | 5                       | 分类加法：航班2种+高铁3种=5种。                                                                                                          |                1 |
| 13396 | 抽样方法 [了解]                                  | SINGLE_CHOICE | 将总体按特征分层后从各层独立抽样称为                                                           | C                       | 分层抽样：总体分层→每层独立随机抽样→合并。                                                                                               |                1 |
| 13397 | 整式加减乘除运算                                 | FILL_IN       | $(x+3)(x-2)=$___（展开）。                                                                     | x²+x-6                  | (x+3)(x-2)=x²-2x+3x-6=x²+x-6。                                                                                                           |                2 |
| 13398 | 整式加减乘除运算                                 | TRUE_FALSE    | $2x^2$ 与 $3x^2$ 是同类项。                                                                    | T                       | 同类项：字母相同且指数相同。2x²和3x²都是x²项。                                                                                           |                1 |
| 13399 | 整式加减乘除运算                                 | FILL_IN       | $(a+b)^2=$___（展开）。                                                                        | a²+2ab+b²               | 完全平方公式。                                                                                                                           |                1 |
| 13400 | 三角形内角和与分类                               | FILL_IN       | 三角形三内角之和为___°。                                                                       | 180                     | 三角形内角和定理。                                                                                                                       |                1 |
| 13401 | 三角形内角和与分类                               | TRUE_FALSE    | 有一个角为90°的三角形是直角三角形。                                                            | T                       | 直角三角形定义。                                                                                                                         |                1 |
| 13402 | 三角形内角和与分类                               | SINGLE_CHOICE | 等腰三角形底角50°，则顶角为                                                                    | B                       | 两底角相等各50°，顶角=180°-100°=80°。                                                                                                    |                2 |
| 13403 | 一元二次方程公式法求解                           | FILL_IN       | 一元二次方程求根公式为 $x=$___。                                                               | (-b±√(b²-4ac))/(2a)     | Δ=b²-4ac为判别式。                                                                                                                       |                2 |
| 13404 | 一元二次方程公式法求解                           | TRUE_FALSE    | 若判别式Δ=0，则方程有两个相等实数根。                                                          | T                       | Δ=0时x=-b/2a，重根。                                                                                                                     |                2 |
| 13412 | 代入消元法与加减消元法                           | TRUE_FALSE    | 方程组可能有0个、1个或无穷多个解。                                                             | T                       | 无解(矛盾)、唯一解(相交)、无穷多解(重合)。                                                                                               |                2 |
| 13413 | 解一元一次方程                                   | FILL_IN       | 解方程 $3x-7=2x+1$，得 $x=$___。                                                               | 8                       | 移项：3x-2x=1+7 ⇒ x=8。                                                                                                                  |                1 |
| 13414 | 一次函数的图像与斜率                             | SINGLE_CHOICE | 若直线斜率为负，则该直线                                                                       | B                       | k<0时，y随x增大而减小，直线下降。                                                                                                        |                1 |
| 13415 | 一次函数的图像与斜率                             | FILL_IN       | 过点(0,-3)和(1,1)的直线斜率为___。                                                             | 4                       | k=(1-(-3))/(1-0)=4。                                                                                                                     |                2 |
